feature,DiD,consistent,N,ratio
HALLMARK_MYC_TARGETS_V2,-0.585987868184641,9,9,1
HALLMARK_MYC_TARGETS_V1,-0.417035127468829,9,9,1
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.3466352034972233,9,9,1
HALLMARK_PANCREAS_BETA_CELLS,-0.34335896086118217,9,9,1
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.334993117754982,9,9,1
HALLMARK_ANGIOGENESIS,0.3104187088405272,9,9,1
HALLMARK_ALLOGRAFT_REJECTION,0.27800475627957516,9,9,1
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.26918667390650886,9,9,1
HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.2663387200509004,9,9,1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.2434539587123623,9,9,1
HALLMARK_UV_RESPONSE_DN,0.24047518453929212,9,9,1
HALLMARK_TGF_BETA_SIGNALING,0.2374522195050625,9,9,1
HALLMARK_MITOTIC_SPINDLE,0.23489514612363724,9,9,1
HALLMARK_IL2_STAT5_SIGNALING,0.2258149180885166,9,9,1
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,-0.21904356548849863,9,9,1
HALLMARK_INFLAMMATORY_RESPONSE,0.2159364433580063,9,9,1
HALLMARK_KRAS_SIGNALING_UP,0.1894248346597801,9,9,1
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.18714688036904784,9,9,1
HALLMARK_SPERMATOGENESIS,-0.18696563208883243,9,9,1
HALLMARK_NOTCH_SIGNALING,0.17188455036829647,9,9,1
HALLMARK_COMPLEMENT,0.16481531024442997,9,9,1
HALLMARK_APOPTOSIS,0.16445135720779425,9,9,1
HALLMARK_APICAL_JUNCTION,0.14947944494877302,9,9,1
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.14485627703356507,9,9,1
HALLMARK_ADIPOGENESIS,-0.13992894369013784,9,9,1
HALLMARK_APICAL_SURFACE,0.1269646078723578,9,9,1
HALLMARK_MTORC1_SIGNALING,-0.11990135518383832,8,9,0.8888888888888888
HALLMARK_BILE_ACID_METABOLISM,-0.11511990877017844,9,9,1
HALLMARK_G2M_CHECKPOINT,-0.11077486778604036,8,9,0.8888888888888888
HALLMARK_XENOBIOTIC_METABOLISM,-0.10964205154704418,9,9,1
HALLMARK_KRAS_SIGNALING_DN,-0.10421881105007215,9,9,1
HALLMARK_ESTROGEN_RESPONSE_LATE,-0.10334658975002353,9,9,1
HALLMARK_P53_PATHWAY,0.10133074124615257,9,9,1
HALLMARK_UV_RESPONSE_UP,0.08669220003384287,9,9,1
HALLMARK_PI3K_AKT_MTOR_SIGNALING,-0.0764904491787526,8,9,0.8888888888888888
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.07338643681501213,8,9,0.8888888888888888
HALLMARK_HYPOXIA,0.06958717876907503,9,9,1
HALLMARK_MYOGENESIS,0.06945122012682683,9,9,1
HALLMARK_DNA_REPAIR,0.06899389169362612,8,9,0.8888888888888888
HALLMARK_ANDROGEN_RESPONSE,-0.04959047939401852,7,9,0.7777777777777778
HALLMARK_FATTY_ACID_METABOLISM,-0.047384375763559514,7,9,0.7777777777777778
HALLMARK_HEME_METABOLISM,0.03934405755939624,6,9,0.6666666666666666
HALLMARK_PEROXISOME,-0.039090389211112075,7,9,0.7777777777777778
HALLMARK_HEDGEHOG_SIGNALING,0.03701967453806656,7,9,0.7777777777777778
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-0.030991464950711645,5,9,0.5555555555555556
HALLMARK_GLYCOLYSIS,-0.02575970345159786,7,9,0.7777777777777778
HALLMARK_WNT_BETA_CATENIN_SIGNALING,-0.017765210959487257,6,9,0.6666666666666666
HALLMARK_COAGULATION,-0.011389567706605153,5,9,0.5555555555555556
HALLMARK_PROTEIN_SECRETION,0.006981086896940034,5,9,0.5555555555555556
HALLMARK_E2F_TARGETS,-0.002384316729390032,4,9,0.4444444444444444
