feature,DiD,consistent,N,ratio
aDC,0.05638202743813632,9,9,1
Basophils,-0.05398882838404433,9,9,1
MicroenvironmentScore,0.046220832817151045,9,9,1
Fibroblasts,0.032870270957470166,9,9,1
ImmuneScore,0.027739353074593298,9,9,1
Th2 cells,-0.02709428802574993,8,9,0.8888888888888888
CD8+ Tcm,0.024901716031392136,9,9,1
iDC,-0.0242740300254254,8,9,0.8888888888888888
MEP,-0.01985664663043686,9,9,1
Smooth muscle,0.01934159035087995,8,9,0.8888888888888888
StromaScore,0.01848147974255781,9,9,1
CD8+ T-cells,0.017784221259687868,9,9,1
Plasma cells,0.015964755183059544,9,9,1
Endothelial cells,0.015464495197211405,9,9,1
Macrophages M2,0.012267034052851077,9,9,1
Macrophages,0.01156875789193898,9,9,1
Adipocytes,-0.011371806669566139,9,9,1
B-cells,0.011080380704818423,9,9,1
Melanocytes,-0.010830042524178378,9,9,1
mv Endothelial cells,0.010709705100579881,9,9,1
Preadipocytes,-0.009920825253817978,9,9,1
CD4+ Tem,0.009752356151976066,9,9,1
Epithelial cells,-0.009461574065900267,9,9,1
Tregs,0.0068110179410514615,9,9,1
CD4+ Tcm,0.005956425289588903,9,9,1
ly Endothelial cells,0.005950397772014259,9,9,1
CD8+ Tem,0.005580804987503039,9,9,1
Mesangial cells,0.005501970839292275,9,9,1
Macrophages M1,0.005066941765318375,9,9,1
CLP,-0.005040894421496299,8,9,0.8888888888888888
pDC,0.004879647755412758,9,9,1
Class-switched memory B-cells,0.0047714578464348786,9,9,1
NKT,0.004310418139407106,9,9,1
GMP,-0.004195770744068905,9,9,1
pro B-cells,-0.0037981454276438693,9,9,1
CD4+ naive T-cells,0.003569380663963954,8,9,0.8888888888888888
Keratinocytes,-0.0033489900159194494,9,9,1
Sebocytes,-0.0027474660715486464,9,9,1
cDC,-0.002678814310494002,6,9,0.6666666666666666
Platelets,0.002421057540583026,9,9,1
Osteoblast,0.0023183410812406286,8,9,0.8888888888888888
MPP,0.0020514344665709047,9,9,1
Hepatocytes,-0.001610296805908905,9,9,1
Pericytes,0.0015360966955810067,4,9,0.4444444444444444
HSC,0.0014502013368279006,5,9,0.5555555555555556
Memory B-cells,0.001383886493583713,9,9,1
MSC,0.001359794116095016,5,9,0.5555555555555556
Astrocytes,0.0012319406487879812,8,9,0.8888888888888888
NK cells,0.0011558173351563386,8,9,0.8888888888888888
CD8+ naive T-cells,0.0011410889602664234,9,9,1
Th1 cells,-0.0011378688362938007,8,9,0.8888888888888888
CMP,8.555682062451244e-4,8,9,0.8888888888888888
Neutrophils,7.413090145883985e-4,9,9,1
Mast cells,-6.032454141072435e-4,7,9,0.7777777777777778
Neurons,4.7883919155351665e-4,9,9,1
Monocytes,-3.8747800335807935e-4,8,9,0.8888888888888888
Megakaryocytes,3.0918384499416674e-4,9,9,1
DC,2.692668231652818e-4,6,9,0.6666666666666666
Myocytes,-2.4155040736348614e-4,6,9,0.6666666666666666
CD4+ memory T-cells,1.3864709778628145e-4,6,9,0.6666666666666666
naive B-cells,-1.0319931741470989e-4,8,9,0.8888888888888888
Chondrocytes,-7.12504674027658e-5,6,9,0.6666666666666666
Skeletal muscle,7.111089612607459e-5,6,9,0.6666666666666666
CD4+ T-cells,2.9414299451462892e-18,8,9,0.8888888888888888
Tgd cells,-1.071666940693781e-18,8,9,0.8888888888888888
Erythrocytes,-9.05733817404258e-19,9,9,1
Eosinophils,-8.6021401943852625e-19,9,9,1
