"cell_type","logFC","t","P.Value","FDR"
"T cells",0.353855863540778,1.06222838941238,0.323398740860973,0.616952175485047
"CD8 T cells",0.659931367233723,0.740367286636997,0.48316522065843,0.616952175485047
"Cytotoxic lymphocytes",0.411571228095916,0.722241166961126,0.493561740388038,0.616952175485047
"B lineage",0.485059660396642,1.64059783363392,0.144886916678396,0.482956388927988
"NK cells",0.349473382938679,0.903348920310549,0.39636200873275,0.616952175485047
"Monocytic lineage",0.196080720587317,1.05569190763646,0.326176500795656,0.616952175485047
"Myeloid dendritic cells",-0.310598271285289,-0.513814854729536,0.62319841393077,0.6924426821453
"Neutrophils",-0.109943902745273,-0.406060326037803,0.696824445235769,0.696824445235769
"Endothelial cells",0.558576558869635,2.78311728025789,0.0271760685410748,0.271760685410748
"Fibroblasts",0.38361499307248,2.14973310199982,0.0686406732783809,0.343203366391905
