feature,GSM2242048_T1_edge_Week0.CEL,GSM2242049_T1_edge_Week1.CEL,GSM2242050_T2_edge_Week0.CEL,GSM2242051_T2_edge_Week1.CEL,GSM2242052_T3_edge_Week0.CEL,GSM2242053_T3_edge_Week1.CEL,GSM2242054_T4_edge_Week0.CEL,GSM2242055_T4_edge_Week1.CEL,GSM2242056_T5_edge_Week0.CEL,GSM2242057_T5_edge_Week1.CEL,GSM2242058_T6_edge_Week0.CEL,GSM2242059_T6_edge_Week1.CEL,GSM2242042_C1_edge_Week0.CEL,GSM2242043_C1_edge_Week1.CEL,GSM2242044_C2_edge_Week0.CEL,GSM2242045_C2_edge_Week1.CEL,GSM2242046_C3_edge_Week0.CEL,GSM2242047_C3_edge_Week1.CEL
T cells,6.66846507481061,6.99270265957807,6.76253648117253,7.03594845319302,6.73565795824239,6.38585832127566,6.85607816382747,8.07853788048318,6.09518423025071,6.56337245387612,6.74324866712234,7.17077151300105,6.41447524679889,6.44140526241115,7.04792111582382,6.71588428337959,6.52352462675051,6.95007420595068
CD8 T cells,1.9244280487099,2.72786888002616,2.68487814167872,1.06326215996642,0.966389790290967,3.4945956588244,4.47211071824824,3.96900340874228,4.02623804646407,4.92961464589314,2.74971332279724,2.88805995283386,3.84817721520561,3.08952935068984,2.14609967375258,2.75888178534743,3.03700496418191,2.32739993445022
Cytotoxic lymphocytes,6.59913052823267,6.72346790429335,6.15335634939473,6.44118182990672,5.64206429292299,6.18212747920443,5.91418027356624,7.70918855888871,5.58465008597395,6.84630521355071,6.61127753492161,5.91937512770615,5.33951560099841,4.80758137412845,6.14517160660562,6.71702880094703,5.48979576246152,5.87365263497125
B lineage,7.33837387606671,7.69227490535614,6.82779908484157,7.18962342787202,6.27752783789561,7.23993821282101,6.48721220696339,6.71288205161745,7.02683711488146,7.00233528730061,6.92344301878118,7.93266386935702,7.23603385004189,6.9309038323376,8.14213253088627,7.95337451889229,6.18631138756889,6.6692827435244
NK cells,4.18345029503592,4.81791441173941,4.76497694054635,5.47100515617983,4.56920286923686,4.64461469115971,5.22262823030215,6.10840123324418,4.90454206792527,4.92135383491936,5.61115740574777,4.97434546167564,4.42220856686361,4.77352959636777,5.91984681743746,5.32080822229867,4.88955509181453,4.92969099869503
Monocytic lineage,9.37667663576032,9.5152376534924,9.65828602633372,10.2684084243085,8.97893403016997,9.42058649409655,9.75315866089219,10.426889888043,9.35342292279364,10.0446349002748,9.72389284067659,9.91154829559483,8.97194719294764,9.56627302043003,10.0924616417586,10.2789169948472,9.68499574602785,9.6874396732868
Myeloid dendritic cells,7.05106071069526,8.02351982120357,8.35868752988745,8.20912760213726,8.10534977481949,8.32386772677557,6.700016636142,7.16873586257937,7.53636869248586,6.86840409418163,7.72295047044432,6.15394199358824,6.7901581272532,6.85952626895521,7.53610179385524,8.50628269060311,7.03110619076359,6.55993360916521
Neutrophils,8.0402835353546,8.56820714026872,8.62301251230995,8.90573021073574,8.3263330051781,8.09137033226236,8.39080632889299,7.77598045490294,8.03631564953774,7.70768067880329,8.53902199029811,8.21915806815184,8.05821524577667,7.95112779908071,8.25063571379007,8.50604255159048,8.09839763920711,7.93608688811519
Endothelial cells,8.3295160970894,8.54741028144851,8.50420249732164,8.56041419406116,9.10637286730081,9.10128748696812,8.87927034892913,9.15758380319841,8.71529392806645,9.3007299659903,8.80400578212126,9.24700974124954,9.24394406934762,8.51175826553875,8.95778203116154,8.9922373500829,8.70160769568034,8.51149548000262
Fibroblasts,12.178703273085,12.0565251647486,12.2946234915981,12.5630971687732,13.6424489441228,13.4850746264023,13.3770531980736,13.7109663893596,13.6078493774084,13.9517915699044,13.03512262535,13.6091353594204,12.6720677475559,12.5873888980304,13.3769032025498,13.2504853332053,13.4736160125389,13.1542624366768
