"","GSM2242042_C1_edge_Week0.CEL","GSM2242043_C1_edge_Week1.CEL","GSM2242044_C2_edge_Week0.CEL","GSM2242045_C2_edge_Week1.CEL","GSM2242046_C3_edge_Week0.CEL","GSM2242047_C3_edge_Week1.CEL","GSM2242048_T1_edge_Week0.CEL","GSM2242049_T1_edge_Week1.CEL","GSM2242050_T2_edge_Week0.CEL","GSM2242051_T2_edge_Week1.CEL","GSM2242052_T3_edge_Week0.CEL","GSM2242053_T3_edge_Week1.CEL","GSM2242054_T4_edge_Week0.CEL","GSM2242055_T4_edge_Week1.CEL","GSM2242056_T5_edge_Week0.CEL","GSM2242057_T5_edge_Week1.CEL","GSM2242058_T6_edge_Week0.CEL","GSM2242059_T6_edge_Week1.CEL"
"GSM2242042_C1_edge_Week0.CEL",1,0.921225215863099,0.887116104497497,0.889791374565998,0.897873392402883,0.887998843670747,0.926024089548276,0.926242333071534,0.917599718307673,0.923604287799118,0.910916394068699,0.920128844217526,0.895194364950856,0.914103729495169,0.90050345047228,0.867776335260653,0.905294941861346,0.90714936344134
"GSM2242043_C1_edge_Week1.CEL",0.921225215863099,1,0.874630027031773,0.874474879815182,0.888578875108321,0.883383338151,0.915218948781105,0.914325474146757,0.911223523055812,0.914451037495141,0.893700239035244,0.900248100544682,0.877017239149675,0.89934271305944,0.889714290457905,0.855414054897355,0.887615574277938,0.888524844127051
"GSM2242044_C2_edge_Week0.CEL",0.887116104497497,0.874630027031773,1,0.893742101345922,0.87658564581678,0.868725927406405,0.882951925937834,0.883717924224357,0.882963916323501,0.890312707704223,0.883422128290787,0.893277705871641,0.866314161633161,0.882474284472569,0.879967934402495,0.870465483574922,0.884878780758312,0.88773068856389
"GSM2242045_C2_edge_Week1.CEL",0.889791374565998,0.874474879815182,0.893742101345922,1,0.886095046293649,0.875493744932132,0.887476915803096,0.889609969138256,0.890554646721199,0.89619544198304,0.888253149925467,0.899402366885741,0.877853916037664,0.888315153460273,0.885959621502502,0.874945962235518,0.893915190142687,0.892838413273656
"GSM2242046_C3_edge_Week0.CEL",0.897873392402883,0.888578875108321,0.87658564581678,0.886095046293649,1,0.895651730694163,0.903231108462901,0.90269991563484,0.904468102571843,0.905017861697289,0.897674254774419,0.90163575527411,0.885509832686877,0.897105516491373,0.890291564487105,0.860819415944626,0.900386096893089,0.892748671490871
"GSM2242047_C3_edge_Week1.CEL",0.887998843670747,0.883383338151,0.868725927406405,0.875493744932132,0.895651730694163,1,0.893475980477157,0.892357949984548,0.897871883432068,0.89454908550864,0.886152904385127,0.888825010801698,0.870680129794224,0.886551770147435,0.879250016105979,0.849599108705873,0.884900408198583,0.880764107736708
"GSM2242048_T1_edge_Week0.CEL",0.926024089548276,0.915218948781105,0.882951925937834,0.887476915803096,0.903231108462901,0.893475980477157,1,0.94131156869385,0.9301558467386,0.935186203538647,0.907976857761784,0.912697247168916,0.898004932249965,0.910351234769943,0.902134524233687,0.860649065947623,0.909166575469614,0.89865483899742
"GSM2242049_T1_edge_Week1.CEL",0.926242333071534,0.914325474146757,0.883717924224357,0.889609969138256,0.90269991563484,0.892357949984548,0.94131156869385,1,0.933913258633072,0.938155859035438,0.907285468145178,0.913318933009052,0.896260651950456,0.909109722232372,0.900989426092201,0.860707390378419,0.910242631203032,0.898720766005291
"GSM2242050_T2_edge_Week0.CEL",0.917599718307673,0.911223523055812,0.882963916323501,0.890554646721199,0.904468102571843,0.897871883432068,0.9301558467386,0.933913258633072,1,0.937730182461235,0.907354001232477,0.910960353179612,0.896084291818417,0.910534722994407,0.897336839926411,0.860788850702059,0.910954815118234,0.899125959892449
"GSM2242051_T2_edge_Week1.CEL",0.923604287799118,0.914451037495141,0.890312707704223,0.89619544198304,0.905017861697289,0.89454908550864,0.935186203538647,0.938155859035438,0.937730182461235,1,0.908882078348151,0.919395906386896,0.898603749903348,0.916983168596148,0.903635509542124,0.869021111557827,0.912806108353625,0.904301981945797
"GSM2242052_T3_edge_Week0.CEL",0.910916394068699,0.893700239035244,0.883422128290787,0.888253149925467,0.897674254774419,0.886152904385127,0.907976857761784,0.907285468145178,0.907354001232477,0.908882078348151,1,0.921075751928403,0.891437970832097,0.902977246876479,0.894708309669131,0.862850245329233,0.904364407199581,0.895615896291489
"GSM2242053_T3_edge_Week1.CEL",0.920128844217526,0.900248100544682,0.893277705871641,0.899402366885741,0.90163575527411,0.888825010801698,0.912697247168916,0.913318933009052,0.910960353179612,0.919395906386896,0.921075751928403,1,0.891912300290856,0.913451446087857,0.902389844066708,0.879193776665147,0.909080946660307,0.907632242829075
