"Pathway","DiD_logFC","DiD_P","DiD_FDR","Delta_logFC","Delta_P","Delta_FDR","LOPO_dir_consistent","LOPO_P_lt_0.05","Direction_consistent"
"REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM",0.420626703230115,0.103101463489311,0.998866289809968,0.420626703230114,0.0265037823090734,0.422383062368651,9,1,TRUE
"REACTOME_VEGFR2_MEDIATED_CELL_PROLIFERATION",0.499355302001871,0.116198210967174,0.998866289809968,0.499355302001871,0.0129120966760105,0.378054179420866,9,0,TRUE
"REACTOME_KERATINIZATION",-0.405427279736136,0.0888075640656086,0.998866289809968,-0.405427279736136,0.0191418516004107,0.411696233106527,9,0,TRUE
"REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS",0.350192113309193,0.250642117880334,0.998866289809968,0.350192113309193,0.0681056814700568,0.542408061445904,9,0,TRUE
"REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE",-0.312936780931711,0.241777622041252,0.998866289809968,-0.312936780931711,0.0708503968202222,0.542408061445904,9,0,TRUE
"REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA",-0.314291918946908,0.347442971028863,0.998866289809968,-0.314291918946908,0.101929234472895,0.569474656195998,9,0,TRUE
"REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION",0.258228284202881,0.263869186953128,0.998866289809968,0.258228284202881,0.111404261781925,0.571107392895887,9,0,TRUE
"REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION",-0.297216236093246,0.294050141154088,0.998866289809968,-0.297216236093246,0.119506453341279,0.577771534039577,9,0,TRUE
"REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION",-0.268095145253543,0.308179935285902,0.998866289809968,-0.268095145253543,0.134367566249749,0.592194153644205,9,0,TRUE
"REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION",-0.284050896309494,0.273718065445773,0.998866289809968,-0.284050896309494,0.136387938501605,0.592194153644205,9,0,TRUE
"REACTOME_PLATELET_SENSITIZATION_BY_LDL",0.233413956822567,0.310750440621353,0.998866289809968,0.233413956822567,0.142475930126742,0.592194153644205,9,0,TRUE
"REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX",-0.260179864239375,0.359782828367618,0.998866289809968,-0.260179864239375,0.14927693259045,0.598892903915015,9,0,TRUE
"REACTOME_WNT_LIGAND_BIOGENESIS_AND_TRAFFICKING",-0.282045162420793,0.272538911059569,0.998866289809968,-0.282045162420793,0.168409963191899,0.639261781015954,9,0,TRUE
"REACTOME_COLLAGEN_DEGRADATION",0.200991680765227,0.413564745588385,0.998866289809968,0.200991680765226,0.171244722058584,0.639261781015954,9,0,TRUE
"REACTOME_VEGFR2_MEDIATED_VASCULAR_PERMEABILITY",-0.246112721364924,0.306438781566311,0.998866289809968,-0.246112721364924,0.18917332063558,0.65674626251426,9,0,TRUE
"REACTOME_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN",0.204174049183254,0.460516619029181,0.998866289809968,0.204174049183254,0.205310532600785,0.679031902675164,9,0,TRUE
"REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE",-0.19397045508352,0.394125993798207,0.998866289809968,-0.19397045508352,0.224698067493102,0.705473483725227,9,0,TRUE
"REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES",0.173179659537471,0.482562097968522,0.998866289809968,0.173179659537471,0.276311055932397,0.754353772890067,9,0,TRUE
"REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES",0.154681830151595,0.572844258545088,0.998866289809968,0.154681830151595,0.28198268121588,0.759740665661582,9,0,TRUE
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION",0.159815650824069,0.500059342599031,0.998866289809968,0.159815650824068,0.284252105893911,0.759740665661582,9,0,TRUE
