"Pathway","DiD_logFC","DiD_P","DiD_FDR","Delta_logFC","Delta_P","Delta_FDR","LOPO_dir_consistent","LOPO_P_lt_0.05","LOPO_median_logFC","LOPO_min_logFC","LOPO_max_logFC","Direction_consistent","Abs_DiD_logFC","Abs_Delta_logFC"
"REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_DEATH_GENES",0.824531898658049,0.00158326046652265,0.998866289809968,0.824531898658049,8.55233564827125e-05,0.107673905811735,9,9,0.847498524456821,0.747197499697659,0.889278579097065,TRUE,0.824531898658049,0.824531898658049
"REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS",-0.671530816085898,0.00451038831093191,0.998866289809968,-0.671530816085898,0.00034644704630584,0.16391190590228,9,9,-0.672591339711201,-0.742250296226614,-0.608910944011708,TRUE,0.671530816085898,0.671530816085898
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_PLASMA_MEMBRANE",0.490486675497586,0.00818583982622326,0.998866289809968,0.490486675497586,0.00299763809325151,0.285420685691041,9,9,0.489545244663825,0.434068966028727,0.540551767385406,TRUE,0.490486675497586,0.490486675497586
"REACTOME_PEPTIDE_HORMONE_BIOSYNTHESIS",-0.587953484503115,0.00560739224909767,0.998866289809968,-0.587953484503115,0.00314527966700764,0.285420685691041,9,9,-0.564767417183369,-0.685194231099977,-0.500683928219148,TRUE,0.587953484503115,0.587953484503115
"REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE",-0.595881362470671,0.00559311497244628,0.998866289809968,-0.59588136247067,0.00320090814598455,0.285420685691041,9,9,-0.561889564617728,-0.688716348687473,-0.514966469559809,TRUE,0.595881362470671,0.59588136247067
"REACTOME_RRNA_PROCESSING",-0.675764057144649,0.00899829873554354,0.998866289809968,-0.675764057144649,0.00160249073380359,0.285420685691041,9,8,-0.694190270358985,-0.807681976850098,-0.483162185162184,TRUE,0.675764057144649,0.675764057144649
"REACTOME_AGGREPHAGY",-0.570340304445389,0.019580164494739,0.998866289809968,-0.570340304445389,0.00181513549775874,0.285420685691041,9,8,-0.579676812324733,-0.660627096914246,-0.428075979704402,TRUE,0.570340304445389,0.570340304445389
"REACTOME_INTRA_GOLGI_TRAFFIC",0.511113465149306,0.0112324892181411,0.998866289809968,0.511113465149306,0.003650515268058,0.285420685691041,9,8,0.496157246284012,0.447380168824187,0.615532855692524,TRUE,0.511113465149306,0.511113465149306
"REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS",-0.570084264949322,0.0245110355534612,0.998866289809968,-0.570084264949321,0.0048679730886746,0.285420685691041,9,8,-0.584874075762818,-0.714368357883786,-0.32430854382867,TRUE,0.570084264949322,0.570084264949321
"REACTOME_TETRAHYDROBIOPTERIN_BH4_SYNTHESIS_RECYCLING_SALVAGE_AND_REGULATION",-0.651756464701424,0.0102467671395583,0.998866289809968,-0.651756464701424,0.00544090266607227,0.285420685691041,9,8,-0.642159510622526,-0.914983372227851,-0.424796333231961,TRUE,0.651756464701424,0.651756464701424
"REACTOME_PI_METABOLISM",0.429075299584098,0.0181869337781489,0.998866289809968,0.429075299584098,0.00818449281143133,0.296397931252367,9,8,0.426795572931704,0.367204521256226,0.487744294461988,TRUE,0.429075299584098,0.429075299584098
"REACTOME_EUKARYOTIC_TRANSLATION_INITIATION",-0.67867076040064,0.0339487611914898,0.998866289809968,-0.678670760400639,0.00307221952391359,0.285420685691041,9,7,-0.678173236708734,-0.873119706317315,-0.366417140287328,TRUE,0.67867076040064,0.678670760400639
"REACTOME_INFLUENZA_INFECTION",-0.543324838827377,0.0284679676133717,0.998866289809968,-0.543324838827376,0.00838942901948227,0.296397931252367,9,7,-0.535511507361326,-0.728734067230428,-0.263461630385795,TRUE,0.543324838827377,0.543324838827376
"REACTOME_HEME_SIGNALING",0.428391466234131,0.0171285310309422,0.998866289809968,0.428391466234131,0.00938938866309294,0.31108527175879,9,7,0.404829732307967,0.377624172677291,0.506253361045312,TRUE,0.428391466234131,0.428391466234131
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_GOLGI_MEMBRANE",0.493484243988374,0.0181953018930367,0.998866289809968,0.493484243988374,0.0136888371046995,0.38628736799647,9,7,0.482997761928829,0.289495764000343,0.770397804633847,TRUE,0.493484243988374,0.493484243988374
"REACTOME_TRANSPORT_OF_CONNEXONS_TO_THE_PLASMA_MEMBRANE",-0.772557033939367,0.0269472485484258,0.998866289809968,-0.772557033939367,0.000704213284485462,0.189422616518966,9,6,-0.797007713141907,-0.87374016877756,-0.620080097018302,TRUE,0.772557033939367,0.772557033939367
"REACTOME_SEALING_OF_THE_NUCLEAR_ENVELOPE_NE_BY_ESCRT_III",-0.607252066726934,0.0244808699768898,0.998866289809968,-0.607252066726934,0.00192265903070419,0.285420685691041,9,6,-0.62376013289723,-0.67998615880314,-0.501811226987745,TRUE,0.607252066726934,0.607252066726934
"REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL",-0.603720941626556,0.0284838208740502,0.998866289809968,-0.603720941626555,0.00421900041441185,0.285420685691041,9,6,-0.597737659827901,-0.697895181855797,-0.516496071209025,TRUE,0.603720941626556,0.603720941626555
"REACTOME_NEGATIVE_REGULATION_OF_ACTIVITY_OF_TFAP2_AP_2_FAMILY_TRANSCRIPTION_FACTORS",-0.65734698232135,0.0325927663110636,0.998866289809968,-0.657346982321349,0.00426531342547234,0.285420685691041,9,6,-0.665438235445531,-0.776420750342872,-0.477774814479296,TRUE,0.65734698232135,0.657346982321349
"REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS",0.462803451873525,0.0276600222748009,0.998866289809968,0.462803451873525,0.00510132850148497,0.285420685691041,9,6,0.460821548723148,0.415136544256407,0.531800800597696,TRUE,0.462803451873525,0.462803451873525
"REACTOME_FATTY_ACIDS",-0.583102371654507,0.0186615087029223,0.998866289809968,-0.583102371654507,0.00534503348305674,0.285420685691041,9,6,-0.60798319513325,-0.649385102034129,-0.460143789629938,TRUE,0.583102371654507,0.583102371654507
"REACTOME_HEME_BIOSYNTHESIS",0.50999462346384,0.0309738141640226,0.998866289809968,0.50999462346384,0.0100876508022827,0.32361631709897,9,6,0.518906548835077,0.381122259282241,0.58568382569987,TRUE,0.50999462346384,0.50999462346384
"REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC",-0.738883491385327,0.0387814958767636,0.998866289809968,-0.738883491385327,0.000390576423913297,0.16391190590228,9,5,-0.748225747557904,-0.832199391158117,-0.62072298252047,TRUE,0.738883491385327,0.738883491385327
