"cell_type","logFC","t","P.Value","FDR"
"aDC",0.0563820274381362,1.25063070175904,0.251251058766579,0.514171346719722
"Adipocytes",-0.0113718066695661,-1.78827982699257,0.116871409815244,0.498504388260686
"Astrocytes",0.00123194064878798,0.683130051063972,0.516489552301227,0.678525490278082
"B-cells",0.0110803807048184,1.52500960194894,0.171084547273633,0.498504388260686
"Basophils",-0.0539888283840445,-1.44228155651295,0.192429597208028,0.498504388260686
"CD4+ memory T-cells",0.000138647097786281,0.163892902948032,0.874447228480788,0.960434333139957
"CD4+ naive T-cells",0.00356938066396395,1.2887867570257,0.238427468423694,0.514171346719722
"CD4+ T-cells",2.94142994514629e-18,1.44621171530405,0.191363438831357,0.498504388260686
"CD4+ Tcm",0.0059564252895889,1.48737717984215,0.180512282941418,0.498504388260686
"CD4+ Tem",0.00975235615197608,1.48417551348983,0.181335807799884,0.498504388260686
"CD8+ naive T-cells",0.00114108896026642,0.904992087386104,0.395548657726296,0.599694909129693
"CD8+ T-cells",0.0177842212596879,1.81524890968063,0.112347810497168,0.498504388260686
"CD8+ Tcm",0.0249017160313921,1.65456845657806,0.141986856451998,0.498504388260686
"CD8+ Tem",0.00558080498750304,1.52876230643033,0.170169519451858,0.498504388260686
"cDC",-0.00267881431049397,-0.175818094897625,0.865414925658531,0.960434333139957
"Chondrocytes",-7.12504674027855e-05,-0.0324740631603001,0.975000548119837,0.975000548119837
"Class-switched memory B-cells",0.00477145784643487,1.81583444709998,0.112251489394447,0.498504388260686
"CLP",-0.0050408944214963,-1.22564263045353,0.259964927532633,0.514171346719722
"CMP",0.000855568206245124,1.22356094038349,0.260702297242251,0.514171346719722
"DC",0.000269266823165294,0.0635544840701547,0.951101750981929,0.969598173656975
"Endothelial cells",0.0154644951972114,1.22161576403943,0.261392911484035,0.514171346719722
"Eosinophils",-8.60214019438526e-19,-1.67327597196972,0.138188786540051,0.498504388260686
"Epithelial cells",-0.00946157406590026,-0.890469239429048,0.402780162848302,0.599694909129693
"Erythrocytes",-9.05733817404259e-19,-1.41971794487493,0.198654431639311,0.498504388260686
"Fibroblasts",0.0328702709574701,1.34048712474983,0.221957317952349,0.514171346719722
"GMP",-0.00419577074406889,-1.52752523165195,0.170470660787053,0.498504388260686
"Hepatocytes",-0.00161029680590891,-1.41176943490254,0.200889828105053,0.498504388260686
"HSC",0.00145020133682793,0.112770027048446,0.913378766446037,0.969598173656975
"iDC",-0.0242740300254254,-0.433639872716491,0.677600048740082,0.825440059374281
"Keratinocytes",-0.0033489900159195,-0.742326456376887,0.482050282894416,0.659129978651548
"ly Endothelial cells",0.00595039777201426,1.17960042448979,0.276690828850849,0.514171346719722
"Macrophages",0.011568757891939,1.12093265285859,0.299293768986107,0.514171346719722
"Macrophages M1",0.00506694176531836,0.826547233519485,0.435757944850225,0.608245464686772
"Macrophages M2",0.0122670340528511,0.84276671527457,0.427213137351437,0.608245464686772
"Mast cells",-0.000603245414107279,-0.295372842246156,0.776278032188195,0.912467160642264
"Megakaryocytes",0.000309183844994162,0.717820773674363,0.4961192779441,0.664799832445095
"Melanocytes",-0.0108300425241784,-4.4242095850784,0.00306563439603397,0.205397504534276
"Memory B-cells",0.00138388649358371,1.9622184751274,0.0905233093788382,0.498504388260686
"MEP",-0.0198566466304369,-1.86237821077878,0.104844757704269,0.498504388260686
"Mesangial cells",0.00550197083929227,1.7331369148532,0.12666972615417,0.498504388260686
"Monocytes",-0.00038747800335808,-0.220911000158215,0.831467087976755,0.960434333139957
"MPP",0.00205143446657091,1.42941167103989,0.19595834897178,0.498504388260686
"MSC",0.00135979411609487,0.0583162379538227,0.955126559124781,0.969598173656975
"mv Endothelial cells",0.0107097051005799,1.12729705626927,0.296770596281323,0.514171346719722
"Myocytes",-0.000241550407363486,-0.182429329378576,0.860416670515118,0.960434333139957
"naive B-cells",-0.000103199317414709,-0.508446420940517,0.626768460104913,0.777657163463503
"Neurons",0.000478839191553522,1.61654159346756,0.150010854341213,0.498504388260686
"Neutrophils",0.0007413090145884,0.933025784580147,0.381862658369298,0.594995304900999
"NK cells",0.00115581733515634,1.52752523165194,0.170470660787055,0.498504388260686
"NKT",0.0043104181394071,1.15248323483116,0.286956155643892,0.514171346719722
"Osteoblast",0.00231834108124063,1.04209914423251,0.332013681141373,0.542558942352975
"pDC",0.00487964775541275,1.17207669594325,0.279507867365129,0.514171346719722
"Pericytes",0.00153609669558103,0.145049245640116,0.888760129174288,0.960434333139957
"Plasma cells",0.0159647551830595,1.45705147147052,0.188450380556571,0.498504388260686
"Platelets",0.00242105754058303,1.80153044881261,0.114627398869149,0.498504388260686
"Preadipocytes",-0.00992082525381799,-0.85479390671319,0.420954615519639,0.608245464686772
"pro B-cells",-0.00379814542764387,-1.89098704208841,0.100529399132185,0.498504388260686
"Sebocytes",-0.00274746607154866,-0.604236762081837,0.564747897170738,0.713926586989424
"Skeletal muscle",7.11108961260743e-05,0.0858712012418864,0.933973364413905,0.969598173656975
"Smooth muscle",0.01934159035088,1.33805345166165,0.222709737179001,0.514171346719722
"Tgd cells",-1.07166694069378e-18,-0.641739672869503,0.541478201208107,0.697673836171984
"Th1 cells",-0.0011378688362938,-0.355051881241634,0.733007681560286,0.876991333295343
"Th2 cells",-0.02709428802575,-0.97867447588145,0.360344741742187,0.57483565944587
"Tregs",0.00681101794105147,1.4635992165397,0.186710186602735,0.498504388260686
"ImmuneScore",0.0277393530745933,2.029806413208,0.0819361783171747,0.498504388260686
"StromaScore",0.0184814797425577,1.07134476939392,0.319556201424802,0.535256637386543
"MicroenvironmentScore",0.046220832817151,2.20681108040701,0.063093507714133,0.498504388260686
