feature,GSM2242048_T1_edge_Week0.CEL,GSM2242049_T1_edge_Week1.CEL,GSM2242050_T2_edge_Week0.CEL,GSM2242051_T2_edge_Week1.CEL,GSM2242052_T3_edge_Week0.CEL,GSM2242053_T3_edge_Week1.CEL,GSM2242054_T4_edge_Week0.CEL,GSM2242055_T4_edge_Week1.CEL,GSM2242056_T5_edge_Week0.CEL,GSM2242057_T5_edge_Week1.CEL,GSM2242058_T6_edge_Week0.CEL,GSM2242059_T6_edge_Week1.CEL,GSM2242042_C1_edge_Week0.CEL,GSM2242043_C1_edge_Week1.CEL,GSM2242044_C2_edge_Week0.CEL,GSM2242045_C2_edge_Week1.CEL,GSM2242046_C3_edge_Week0.CEL,GSM2242047_C3_edge_Week1.CEL
aDC,0,2.34186603461155e-18,0.0826483951925546,0.0537336105259173,0,0.00116880626536058,0.050987000751623,0.143060787293115,0.0302567509236498,0.190179321652013,0.0511332799740562,0.0598736008258818,0,0.0147654473622413,0.0704812064112333,0.0587830243935121,0.138309039141169,0.082591041342442
Adipocytes,2.85145509409725e-20,0,4.1267375822153e-4,0,0.0016889547749285,9.8981449206838e-4,0,1.21065715724503e-19,0.00199787035114431,1.72425526369494e-19,0.0041496465039677,0,0,5.2786224399162696e-20,3.1444994377224897e-19,0.0011335583644487,0.00124859230225761,0.0306007884984105
Astrocytes,1.97934096729771e-18,8.954351989601529e-19,5.083891869169509e-19,3.41860546743969e-18,0.0029640467188472,0.0103556906115751,0,0,1.7293591798845001e-18,0,1.53373328563548e-18,5.86235316011164e-18,2.4979736580411e-18,1.21446895693021e-17,1.05685617037943e-18,0,0,0
B-cells,0.00354121111230136,0.00878871504729861,1.36419901856476e-18,0.00551403951586587,8.311779683586139e-19,2.4082987146652397e-19,0,0.00104436206747636,0,6.09284952237461e-20,0,0,0.00407599959106316,0.00741744376847596,0.0377759582301328,0.00709632469743447,3.7316033140471695e-19,8.5514060548114e-19
Basophils,0.00817832118242954,4.41454669945083e-19,0.11205187449731,0.0136928415168842,0.00754765568019168,0.0211785748496565,0.0276251320387509,0.0455627415909993,0.0103893641488465,0.0274896510951456,0.0851262967507459,0.0682963829014259,0,0,0.00698719422683555,0.129021301017982,0.103267852749018,0.105851004937923
CD4+ memory T-cells,7.9556798490933e-4,0.00384061110664946,1.0728584081000399e-19,0.00130689569869662,0,0,9.44117558963194e-19,5.2530203300874e-4,0,0,4.80120219668438e-19,4.98287301711654e-20,0,0.0020226791333639,3.39696475596861e-20,7.16307878344872e-20,2.83328285895071e-20,0
CD4+ naive T-cells,1.00115893876046e-18,0,3.48980208497611e-18,0,1.1310387006076e-18,0,0.0039418892446056,0,7.8223986074819e-4,0.00442839033844552,0,2.7172380409408197e-19,0,0,0.010856011375346,0,0,0
CD4+ T-cells,6.51706369802267e-20,6.15718383033301e-20,0,3.88460456409775e-19,1.23408912013679e-18,7.79956551711765e-19,2.11212822636268e-18,3.6443111944242897e-19,0,0,2.9826148284418097e-19,2.0825956532501e-19,2.5316706959582996e-19,0,2.0460624935733298e-19,0,9.32000148405149e-18,0
CD4+ Tcm,0.00177975928172238,0.00878742758043588,1.7311147229619099e-18,0.00757164451275403,0.0144001792107988,0.00752415155819733,0.0255582779574519,0.0259985825604025,0,0.00461654877777433,0.00791186308511515,0.0159014957760638,0.00642807805096632,1.6161435172686199e-18,0,0.00359332105419398,0.00465963325672455,3.7337543842638298e-25
CD4+ Tem,0,3.7795149637148197e-20,1.8438322492958298e-18,1.2720032386985e-18,1.23791665209182e-18,1.5652137674872e-18,0.0128079220120209,0.0339150280399197,0,0,2.4363305024229998e-18,0,0,3.33637356072521e-18,0.0187035154419788,0,0,6.918820654471309e-19
